id,lat,lon,name,cvegeo,pob_2010,imu2010,gmu2010
119,19.42679,-99.15554,119 TURÍN-ABRAHAM GONZÁLEZ,0901500010856,3125,-0.806815265571647,Bajo
99,19.42995,-99.14591,99 ERNESTO PUGIBET-LUIS MOYA,0901500010875,8210,-0.759503708677776,Bajo
110,19.42513,-99.14339,110 DR. VALENZUELA-DR. RÍO DE LA LOZA,0901500010875,8210,-0.759503708677776,Bajo
122,19.425502,-99.146337,122 JOSE MARIA VERTIZ-AV.DR. RIO DE LA LOZA,0901500010875,8210,-0.759503708677776,Bajo
448,19.426611,-99.14447,448 DR. ANDRADE - ARCOS DE BELÉN,0901500010875,8210,-0.759503708677776,Bajo
138,19.417702,-99.155313,138 GUANAJUATO-FRONTERA,0901500011110,5904,-1.031654110699530,Muy bajo
140,19.416605,-99.156853,140 MÉRIDA-ZACATECAS,0901500011110,5904,-1.031654110699530,Muy bajo
143,19.414303,-99.157542,143 CÓRDOBA-SAN LUIS POTOSÍ,0901500011110,5904,-1.031654110699530,Muy bajo
144,19.415192,-99.154837,144 FRONTERA-SAN LUIS POTOSÍ,0901500011110,5904,-1.031654110699530,Muy bajo
148,19.412829,-99.155116,148 COAHUILA-AV.CUAUHTEMOC,0901500011110,5904,-1.031654110699530,Muy bajo
149,19.41199,-99.155699,149 MÉRIDA-ANTONIO ANZA,0901500011110,5904,-1.031654110699530,Muy bajo
139,19.416128,-99.162097,E139 TONALÁ-GUANJUATO,0901500011106,2127,-0.766973574220115,Bajo
141,19.415905,-99.15954,141 ZACATECAS-LUIS CABRERA,0901500011106,2127,-0.766973574220115,Bajo
240,19.43855,-99.2063,240 EJERCITO NACIONAL-F.C. DE CUERNAVACA ,0901600010622,4691,-1.144847852405630,Muy bajo
241,19.43862,-99.20758,E241 EJERCITO NAL-JUAN VAZQUEZ DE LA MELLA ,0901600010622,4691,-1.144847852405630,Muy bajo
460,19.437014,-99.207932,460 JUAN VÁZQUEZ DE MELLA-HOMERO,0901600010622,4691,-1.144847852405630,Muy bajo
200,19.437596,-99.188785,200 EMERSON-AV. EJERCITO NACIONAL,0901600010660,4114,-1.165943062415040,Muy bajo
201,19.437431,-99.187215,201 LOPE DE VEGA-EJERCITO NACIONAL ,0901600010660,4114,-1.165943062415040,Muy bajo
208,19.434182,-99.189835,208 HESIODO-LAMARTINE ,0901600010660,4114,-1.165943062415040,Muy bajo
207,19.434861,-99.183322,207 TASSO-HOMERO ,090160001068A,2346,-1.341191140169230,Muy bajo
217,19.432888,-99.183605,217 EULER-AV. HORACIO ,090160001068A,2346,-1.341191140169230,Muy bajo
226,19.431033,-99.18222,226 WALLON-PRESIDENTE MASARYK,090160001068A,2346,-1.341191140169230,Muy bajo
239,19.430153,-99.181355,239 RINCON DEL BOSQUE-RUBEN DARÍO ,090160001068A,2346,-1.341191140169230,Muy bajo
247,19.432276,-99.18064,E247 HERSCHEL-ROUSSEAU ,090160001068A,2346,-1.341191140169230,Muy bajo
